                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.93109,                0.54209,                 1.0115,                0.99775,                      1,                  0.995,                0.74111,                0.98708,                0.48269,                 1.0016,              0.0015314,              0.0015314,              0.0015314
                     74,                 1.0705,                0.58001,                 1.0592,                0.99797,                      1,                  0.995,                0.73085,                 1.0037,                0.46277,                 1.0016,              0.0015248,              0.0015248,              0.0015248
                     75,                0.99096,                0.49815,                 1.0155,                0.99797,                      1,                  0.995,                0.73085,                 1.0037,                0.46277,                 1.0016,              0.0015182,              0.0015182,              0.0015182
                     76,                0.98432,                0.53547,                0.97264,                 0.9978,                      1,                  0.995,                0.75347,                0.95307,                0.45358,                0.98525,              0.0015116,              0.0015116,              0.0015116
                     77,                 1.0241,                0.53444,                 1.0089,                 0.9978,                      1,                  0.995,                0.75347,                0.95307,                0.45358,                0.98525,               0.001505,               0.001505,               0.001505
                     78,                 1.0426,                0.53732,                 1.0692,                0.99739,                      1,                  0.995,                0.77627,                0.88219,                0.45573,                0.96567,              0.0014984,              0.0014984,              0.0014984
                     79,                0.92835,                0.52801,                0.97657,                0.99739,                      1,                  0.995,                0.77627,                0.88219,                0.45573,                0.96567,              0.0014918,              0.0014918,              0.0014918
                     80,                0.90351,                0.50432,                0.97151,                0.99686,                      1,                  0.995,                0.76869,                0.85978,                0.48359,                0.96182,              0.0014852,              0.0014852,              0.0014852
                     81,                0.92334,                0.53521,                 1.0235,                0.99686,                      1,                  0.995,                0.76869,                0.85978,                0.48359,                0.96182,              0.0014786,              0.0014786,              0.0014786
                     82,                0.89379,                0.52583,                 1.0174,                0.99639,                      1,                  0.995,                0.76917,                 0.8798,                0.48422,                0.96822,               0.001472,               0.001472,               0.001472
                     83,                0.96622,                0.52811,                0.97388,                0.99639,                      1,                  0.995,                0.76917,                 0.8798,                0.48422,                0.96822,              0.0014654,              0.0014654,              0.0014654
                     84,                0.94449,                0.51859,                 1.0139,                0.99657,                      1,                  0.995,                0.76774,                0.89177,                0.45561,                0.97625,              0.0014588,              0.0014588,              0.0014588
                     85,                0.92106,                 0.4928,                0.99189,                0.99657,                      1,                  0.995,                0.76774,                0.89177,                0.45561,                0.97625,              0.0014522,              0.0014522,              0.0014522
                     86,                0.90305,                0.50548,                0.97074,                0.99649,                      1,                  0.995,                0.77623,                0.87599,                0.44553,                 0.9786,              0.0014456,              0.0014456,              0.0014456
                     87,                0.91765,                0.52353,                 1.0363,                0.99649,                      1,                  0.995,                0.77623,                0.87599,                0.44553,                 0.9786,               0.001439,               0.001439,               0.001439
                     88,                0.97919,                0.53746,                 1.0597,                0.99649,                      1,                  0.995,                0.77442,                0.84167,                0.44449,                0.96603,              0.0014324,              0.0014324,              0.0014324
                     89,                0.95232,                0.51172,                 1.0257,                0.99649,                      1,                  0.995,                0.77442,                0.84167,                0.44449,                0.96603,              0.0014258,              0.0014258,              0.0014258
                     90,                0.88155,                 0.5164,                0.97062,                0.99683,                      1,                  0.995,                 0.7785,                0.83426,                0.44365,                0.95724,              0.0014192,              0.0014192,              0.0014192
                     91,                0.86396,                0.51046,                0.99575,                0.99683,                      1,                  0.995,                 0.7785,                0.83426,                0.44365,                0.95724,              0.0014126,              0.0014126,              0.0014126
                     92,                 0.9419,                0.49964,                  0.946,                0.99715,                      1,                  0.995,                0.75803,                  0.857,                0.45451,                0.96102,               0.001406,               0.001406,               0.001406
                     93,                 0.9283,                 0.5058,                0.95854,                0.99715,                      1,                  0.995,                0.75803,                  0.857,                0.45451,                0.96102,              0.0013994,              0.0013994,              0.0013994
                     94,                0.93168,                0.50133,                0.98517,                0.99751,                      1,                  0.995,                0.75051,                0.88677,                0.47026,                0.96801,              0.0013928,              0.0013928,              0.0013928
                     95,                0.84213,                0.49315,                0.96969,                0.99751,                      1,                  0.995,                0.75051,                0.88677,                0.47026,                0.96801,              0.0013862,              0.0013862,              0.0013862
